#---
#
# SPDX-FileCopyrightText: Copyright © <2022> Idiap Research Institute <contact@idiap.ch>
#
# SPDX-FileContributor: Saeed Sarfjoo <saeed.sarfjoo@idiap.ch>
#
# SPDX-License-Identifier: MIT-License 

# Words in alphabetical order to normalize ATC data. Used for data preparation
# Structure of the normalization is: "from;to;"

etiopian;ethiopian;
eurotrans;euro trans;
eurowest;euro west;
euro_wings;euro wings;
eurowings;euro wings;
e-wing;E wing;
exhange;exchange;
expedied;expedite;
experiancing;experiencing;
faeroline;faroe line;
faroeline;faroe line;
faroline;faroe line;
fic;FIC;
fiftyfive;fifty five;
finair;finn air;
finn_air;finn air;
finnair;finn air;
firebird;fire bird;
fivehundred;five hundred;
fivethousand;five thousand;
fivethoused;five thousand;
fivethousend;five thousand;
FL;flight level;
flairjet;flair jet;
flexjet;flex jet;
fligh;flight;
flighlevel;flight level;
flight_avia;flight avia;
flightblevel;flight level;
flightflevel;flight level;
flightlevel;flight level;
flightleven;flight level;
flightlev;flight level;
flightplanned;flight planned;
fligthlevel;flight level;
fligtlevel;flight level;
fliniki;fly niki;
fliyniki;fly niki;
flugstjórn;flugstjorn;
flybulgarian;fly bulgarian;
flying_bulgaria;flying bulgaria;
flyinglux;flying lux;
flynike;fly niki;
fly_niki;fly niki;
flyniki;fly niki;
fourhundred;four hundred;
fourthousand;four thousand;
fourtousand;four thousand;
fourtyfive;forty five;
fourty;forty;
foxtrott;foxtrot;
francesoleil;france soleil;
frenchpost;french post;
friðrik;fridrik;
g_air_force;german air force;
german airforce;german air force;
german_air_force;german air force;
german_airforce;german air force;
german_cargo;german cargo;
germaneagle;german eagle;
german_wings;german wings;
germanwings;german wings;
gloabaljet;global jet;
globaljet;global jet;
gmg;GMG;
góðan;godan;
godbye;good bye;
goobye;good bye;
goodbye;good bye;
goodday;good day;
goodybe;good bye;
goverment;government;
gpm aeroservicio;GPM aeroservicio;
greatful;grateful;
greeland;greenland;
grues;gruess;
gruesseuch;gruess euch;
gruessgott;gruess gott;
grüß;gruess;
guelle;guele;
gulf_air;gulf air;
gulfair;gulf air;
g-w air;GW air;
gwings;german wings;
hallo;hello;
headign;heading;
headng;heading;
heronair;heron air;
(hes);[hes];
]hes];[hes];
[] hes;[hes];
holdingpoint;holding point;
hoppi;hopi;
hudred;hundred;
hunderd;hundred;
hundret;hundred;
hungarian_airforce;hungarian airforce;
i am;I am;
i call;I call;
i can;I can;
i could;I could;
iceair;ice air;
icelandic];Icelandic];
i confirm;I confirm;
identfied;identified;
identifed;identified;
i didn't;I didn't;
i do;I do;
i don't;I don't;
i_f_r;IFR;
ifr;IFR;
i got;I got;
i guess;I guess;
i had;I had;
i have;I have;
i haven't;I haven't;
i imagine;I imagine;
i-jet;I jet;
i just;I just;
i leave;I leave;
i'll;I'll;
i_l_s;ILS;
ils;ILS;
i'm;I'm;
i missed;I missed;
incomming;incoming;
Increase;increase;
i need;I need;
informaton;information;
initialy;initially;
#inside;in sight;
insight;in sight;
intencity;intensity;
intension;intention;
internation;international;
i plan;I plan;
iran_air;iran air;
iranair;iran air;
i read; I read;
i request;I request;
i said;I said;
isair;israir;
i say;I say;
i see;I see;
i think;I think;
i thought;I thought;
i'ts;it's;
i've;I've;
i was;I was;
i want;I want;
i will;I will;
i would;I would;
jæja;jaeja;
j-bird;J bird;
j_c;JC;
Jersey;jersey;
jet_executive;jet executive;
jetflight;jet flight;
jet usa;jet USA;
jordainian;jordanian;
j-pat;J pat;
js charter;JS charter;
juilett;juliett;
julient;juliett;
juliet;juliett;
julliet;juliett;
jung_sky;jung sky;
Jung_Sky;jung sky;
kaiak;kayak;
kannas;kaunas;
keflavík;keflavik;
klio;kilo;
k_l_m;KLM;
klm;KLM;
klmheli;KLM heli;
korean_air;korean air;
koreanair;korean air;
kristján;kristjan;
k-state;K state;
kvöld;kvold;
lambounre;lambourne;
lauda_motion;lauda motion;
laudamotion;lauda motion;
lauda_rush;lauda rush;
laudarush;lauda rush;
lcn;LCN;
lfthansa;lufthansa;
Lima;lima;
lineup;line up;
lion_king;lion king;
localaziler;localizer;
localiser;localizer;
LOT;lot;
lts;LTS;
lufhansa;lufthansa;
lufhtansa;lufthansa;
lufhthansa;lufthansa;
luftahnsa;lufthansa;
lufthansa_cargo;lufthansa cargo;
luft hansa;lufthansa;
Lufthansa;lufthansa;
luft[hes]nsa;lufthansa;
lutfhansa;lufthansa;
luxair;lux air;
magnús;magnus;
maintatin;maintain;
mál;mal;
matik;mapik;
meðan;medan;
með;med;
meremaid;mermaid;
merharba;merhaba;
METMA;metma;
milees;miles;
minimun;minimum;
moldava;moldova;
montengero;montenegro;
nagivaton;navigation;
naviagation;navigation;
navigaton;navigation;
nd aerotaxis;ND aerotaxis;
[ne;[NE;
[/ne];[/NE];
neagtiv;negative;
negativ;negative;
netflight;net flight;
nina;nine;
niner;nine;
ninethousand;nine thousand;
ninteen;nineteen;
nintety;ninety;
ninty;ninety;
norðan;nordan;
norður;nordur;
nor_shuttle;nor shuttle;
norshuttle;nor shuttle;
Nor_shutttle;nor shuttle;
north_shuttle;nor shuttle;
northshuttle;nor shuttle;
Norvegian];Norwegian];
norwegian];Norwegian];
novemeber;november;
novenber;november;
novmeber;november;
occationally;occasionally;
occational;occasional;
oclock;o'clock;
o clock;o'clock;
o;O;
oh;O;
ohh;O;
okay;OK;
okey;OK;
okham;ockham;
o_k;OK;
ok;OK;
oman_air;oman air;
omanair;oman air;
onehundred;one hundred;
onur_air;onur air;
oposite;opposite;
orevuar;au revoir;
oskar;oscar;
outermarker;outer marker;
passanger;passenger;
pleasee;please;
polon;polom;
possbile;possible;
preceeding;preceding;
preent;present;
preferd;preferred;
private_wings;private wings;
privatewings;private wings;
privatwings;private wings;
proceede;proceed;
qhn;QNH;
q link;Q link;
qnh;QNH;
qsy;QSY;
quatari;qatari;
raven u-s;raven US;
readback;read back;
receving;receiving;
recieve;receive;
recleard;recleared;
red_bird;red bird;
reduse;reduce;
redusing;reducing;
REGNO;regno;
rejcted;rejected;
repeatetly;repeatedly;
restiction;restriction;
restriciton;restriction;
restricitons;restrictions;
reykjavík;reykjavik;
reykjavk;reykjavik;
rfg;RFG;
rnav;Rnav;
RNAV;Rnav;
rogerr;roger;
royalair_maroc;royal air maroc;
russia_air;russia air;
russiaair;russia air;
rvr;RVR;
r_v_r;RVR;
ryan_air;ryan air;
ryanair;ryan air;
ryanir;ryan air;
sacair;sac air;
saclair;sac air;
s-airlines;S airlines;
san_juan;san juan;
sarok;sorok;
sarting;starting;
s-bar;S bar;
scandanavian;scandinavian;
Scandinavian;scandinavian;
scandy;scandi;
schönen;schoenen;
schön;schoen;
sebia;serbia;
seervus;servus;
SELCAL;selcal;
seperation;separation;
sepration;separation;
seruvs;servus;
seventhousand;seven thousand;
silkwest;silk west;
sixhundred;six hundred;
sixthousand;six thousand;
skybiz;sky biz;
sky_dubai;sky dubai;
sky_fox;sky fox;
skyfox;sky fox;
sky_travel;sky travel;
skytravel;sky travel;
skywalker;sky walker;
slovaktravel;slovak travel;
smartlynx;smart lynx;
snowcab;snow cab;
sonderstrom;sondrestrom;
sondestrom;sondrestrom;
southamptom;southampton;
speed_bird;speed bird;
speedbird;speed bird;
Speedbird;speed bird;
speedway;speed way;
sprintair;sprint air;
squack;squawk;
squwak;squawk;
standart;standard;
standbye;standby;
stand by;standby;
starlink;star link;
straight-in;straight in;
straigth;straight;
straigt;straight;
strenght;strength;
südavia;suedavia;
südflug;suedflug;
sun_country;sun country;
sun_express;sun express;
sunexpress;sun express;
Sun_express;sun express;
sun_turk;sun turk;
sunturk;sun turk;
svoldið;svoldid;
swiss_air;swiss air;
swissair;swiss air;
tag u-s;tag US;
take off;takeoff;
taxi_jet;taxi jet;
TEBRO;tebro;
tenthouosand;ten thousand;
tenthousand;ten thousand;
tenty;twenty;
thai_jet;thai jet;
thai_pacific;thai pacific;
thats;that's;
That's;that's;
thousandsixhundred;thousand six hundred;
thousend; thousand;
threehundred;three hundred;
threethousand;three thousand;
threethousannd;three thousand;
til;till;
time_air;time air;
timeair;time air;
tomjet;tom jet;
top_jet;top jet;
topjet;top jet;
topswiss;top swiss;
transavia;trans avia;
travel_air;travel air;
travelair;travel air;
triple-a;triple A;
tripple;triple;
tschau;ciao;
tschoe;tschue;
tschues;tschuess;
tui_jet;tui jet;
tuijet;tui jet;
tunair;tun air;
tunisair;tunis air;
tunr;turn;
turbulance;turbulence;
Turkish;turkish;
twingus;twin goose;
Twingus;twin goose;
twinjet;twin jet;
twohundred;two hundred;
twothousandeighthundred;two thousand eight hundred;
twothousandsevenhundred;two thousand seven hundred;
twothousandsixhundrd;two thousand six hundred;
twothousandsixhundred;two thousand six hundred;
twotwenty;two twenty;
ukn;unk;
ukraine_international;ukraine international;
ukraineinternational;ukraine international;
unifrom;uniform;
unkraine;ukraine;
unk;[unk];
(unk);[unk];
[unk};[unk];
{unk];[unk];
{unk};[unk];
] unk [;] [unk] [;
upto;up to;
ut-ukraine;UT ukraine;
vaagar;vagar;
valljet;vall jet;
vfr;VFR;
við;vid;
viktor;victor;
vilko;wilco;
vista_jet;vista jet;
waketurbulence;wake turbulence;
w-business;W business;
webal;vebal;
westman;vestmann;
whiksey;whiskey;
whiseky;whiskey;
whisikey;whiskey;
whisky;whiskey;
wiskey;whiskey;
wiss air;wizz air;
wiyyair;wizz air;
wizz_air;wizz air;
wizzair;wizz air;
wuhan_air;wuhan air;
XAMOD;xamod;
x-bird;X bird;
xp parcel;XP parcel;
xray;x-ray;
yea;yeah;
you're;you are;
zenstar;zen star;
zoulou;zulu;
