ICAO	Airline	CALL SIGN	Country
CPJ	Baltimore Air Transport	CORPJET	United States
CPL	Chaparral Airlines	CHAPARRAL	United States
CPN	Caspian Airlines	CASPIAN	Iran
CPO	Corporate Aircraft Company	MOKAN	United States
CPP		COPTERPLUS	
CPR	Corporate Air	CORPAIR	United States
CPS	Compass International Airways	COMPASS	United Kingdom
CPT	Corporate Air	AIR SPUR	United States
CPV	Air Corporate	AIRCORPORATE	Italy
CPW	Chippewa Air Commuter	CHIPPEWA-AIR	United States
CPX	Capital Air Service	CAPAIR	United States
CPY		AIR COMPANY	
CPZ	Compass Airlines	COMPASS ROSE	United States
CQA		COASTAIR	
CQH	Spring Airlines	AIR SPRING	China
CQN	Chongqing Airlines	CHONG QING	China
CRA	Coronado Aerolíneas	CORAL	Colombia
CRB	Caricom Airways	CARIBBEAN COMMUTER	Suriname
CRC	Cameroon Airlines Corporation	CAMAIRCO	Cameroon
CRC	Conair Aviation	CONAIR-CANADA	Canada
CRD		AEROCOR	
CRE	Cree Airways	CREE AIR	Canada
CRF	Croix Rouge Francais	CROIX ROUGE	France
CRG	Cargoitalia	WHITE PELICAN	Italy
CRH	CRI Helicopters Mexico	HELI-MEX	Mexico
CRI		CROAIR	
CRJ	Air Cruzal	AIR CRUZAL	Angola
CRK	Hong Kong Airlines	BAUHINIA	Hong Kong
CRL	Corsairfly	CORSAIR	France
CRM	Commander Mexicana	COMMANDERMEX	Mexico
CRN	Empresa Aerocaribbean	AEROCARIBBEAN	Cuba
CRO	Crown Airways	CROWN AIRWAYS	United States
CRP	Aerotransportes Corporativos	AEROTRANSCORP	Mexico
CRQ	Air Creebec	CREE	Canada
CRR		RAILCAR	
CRS	Comercial Aérea	COMERCIAL AEREA	Mexico
CRT	Caribintair	CARIBINTAIR	Haiti
CRU		CHERKASY	
CRV	Acropolis Aviation	ACROPOLIS	United Kingdom
CRV	Cargo Ivoire	CARGOIV	Ivory Coast
CRW	Crownair	REGAL	Canada
CRX	Cross Aviation	CROSSAIR	United Kingdom
CRY	Primavia Limited	CARRIERS	United Kingdom
CRZ		CRUZEIRO	
CSA	Czech Airlines	C_S_A	Czech Republic
CSB		CARGO SOUTH	
CSC	Sichuan Airlines	SI CHUAN	China
CSD	Courier Services	DELIVERY	United States
CSE	CSE Aviation	OXFORD	United Kingdom
CSF	Clasair	CALEDONIAN	United Kingdom
CSG		COSTA SOL	
CSH	Shanghai Airlines	SHANGHAI AIR	China
CSI	Central Skyport	SKYPORT	United States
CSJ	Castle Aviation	CASTLE	United States
CSK	Flightcraft	CASCADE	United States
CSL	California Air Shuttle	CALIFORNIA SHUTTLE	United States
CSM	Ratkhan Air	LORRY	Kazakhstan
CSN	China Southern Airlines	CHINA SOUTHERN	China
CSO	Casino Airline	CASAIR	United States
CSP	Casper Air Service	CASPER AIR	United States
CSQ	IBC Airways	CHASQUI	United States
CSR		CISAIR	
CSS	SF Airlines	SHUN FENG	China
CST	Coast Air	COAST CENTER	Norway
CSU	Chari Aviation Services	CHARI SERVICE	Chad
CSV	Coastal Travels	COASTAL TRAVEL	Tanzania
CSW	SW Italia	SILKITALIA	Italy
CSX	Choice Airways	CHOICE AIR	United States
CSY	Shuangyang General Aviation	SHUANGYANG	China
CSZ	Shenzhen Airlines	SHENZHEN AIR	China
CTA	Aero Charter and Transport	CHAR-TRAN	United States
CTB		SUNNYHEART	
CTC		CORP EJECUTIVA	
CTD	Aerocorporativos	AEROCORPORATIVOS	Mexico
CTE	Air Tenglong	TENGLONG	China
CTF	Cutter Aviation	CUTTER FLIGHT	United States
CTG	Canadian Coast Guard	CANADIAN COAST GUARD	Canada
CTH	China General Aviation Corporation	TONGHANG	China
CTJ		TIANJIN CARGO	
CTK	East Midlands Helicopters	COSTOCK	United Kingdom
CTL	Central Airlines	CENTRAL COMMUTER	United States
CTM	Commandement Du Transport Aerien Militaire Francais	COTAM	France
CTN	Croatia Airlines	CROATIA	Croatia
CTP	Tashkent Aircraft Production Corporation	CORTAS	Uzbekistan
CTQ	CTK Network Aviation	CITYLINK	Ghana
CTR	Aerolíneas Centauro	CENTAURO	Mexico
CTS	Center-South	CENTER-SOUTH	Russia
CTT	Custom Air Transport	CATT	United States
CTU		CITYLINE	
CTV	Escuela De Pilotos Are Aviación	ARE AVIACION	Spain
CTW	Cargo Three	THIRD CARGO	Panama
CTX		CATBIRD	
CTY	Cryderman Air Service	CENTURY	United States
CTZ	CATA Línea Aérea	CATA	Argentina
CUA	China United Airlines	LIANHANG	China
CUB	Cubana de Aviación	CUBANA	Cuba
CUH	Urumqi Airlines	LOULAN	China
CUI	Cancun Air	CAN-AIR	Mexico
CUK	Polo Aviation	CHUKKA	United Kingdom
CUL		COULSON	
CUO	Aerocuahonte	CUAHONTE	Mexico
CUS		CRONUS	
CUT	Court Helicopters	COURT AIR	South Africa
CVA	Air Chathams	CHATHAM	New Zealand
CVC	Centre-Avia	AVIACENTRE	Russia
CVE	Cabo Verde Express	KABEX	Cape Verde
CVF	Dassault Falcon Jet Corporation	CLOVERLEAF	United States
CVG	Carill Aviation	CARILL	United Kingdom
CVI		AVIA DONBASS	
CVJ		COMEREJECUTIVA	
CVK	CAVOK Airlines	CARGO LINE	Ukraine
CVL	Coval Air	COVAL	Canada
CVN		CET AVIATION	
CVO	Center Vol	CENTERVOL	Spain
CVR	Chevron U.S.A	CHEVRON	United States
CVS		CONVERS	
CVT	Peran	CVETA	Kazakhstan
CVU	Grand Canyon Airlines	CANYON VIEW	United States
CVV	Comeravia	COMERAVIA	Venezuela
CVZ		CARIBE	
CWA	Canadian Western Airlines	CANADIAN WESTERN	Canada
CWC	Centurion Air Cargo	CHALLENGE CARGO	United States
CWD	Caernarfon Airworld	AMBASSADOR	United Kingdom
CWE	Celtic West	CELTIC	United Kingdom
CWG		CLEAR WING	
CWH	Canadian Warplane Heritage Museum	WARPLANE HERITAGE	Canada
CWK	Comores Airlines	CONTICOM	Comoros
CWL	RAF Cranwell	CRANWELL	United Kingdom
CWM	Air Marshall Islands	AIR MARSHALLS	Marshall Islands
CWN	Cardiff Wales Flying Club	CAMBRIAN	United Kingdom
CWP	Australian Customs Service	COASTWATCH	Australia
CWR	Beijing City International Jet	CITY WORLD	China
CWS		SWAZI CARGO	
CWT	Texas Airways	TEXAS AIRWAYS	United States
CWU	Wuhan Airlines	WUHAN AIR	China
CWW	Canair	CAN-AIR	China
CWX	Crow Executive Air	CROW EXPRESS	United States
CWY	Woodgate Aviation	CAUSEWAY	United Kingdom
CWZ	Capitol Wings Airline	CAPWINGS	United States
CXA	Xiamen Airlines	XIAMEN AIR	China
CXE	Caicos Express Airways	CAICOS	Turks and Caicos Islands
CXF		CARDS FLIGHT	
CXH	China Xinhua Airlines	XINHUA	China
CXI	Shanxi Airlines	SHANXI	China
CXJ	Xinjiang Airlines	XINJIANG	China
CXM		ASIA CARGO	
CXN		ZHONG YUAN	
CXO	Conroe Aviation Services	CONROE AIR	United States
CXP	Xtra Airways	CASINO EXPRESS	United States
CXR		CONGO EXPRESS	
CXS	Boston-Maine Airways	CLIPPER CONNECTION	United States
CXT		COASTAL	
CXX		LOGISTIC	
CYA	Cheyenne Airways	CHEYENNE AIR	United States
CYB		CITYBUS	
CYC	Cyprair Tours	CYPRAIR	Cyprus
CYD		CYCLONE	
CYE	Aerocheyenne	AEROCHEYENNE	Mexico
CYF	Company Flight	COMPANY FLIGHT	Denmark
CYG	Yana Airlines	VICAIR	Cambodia
CYH	China Southern Airlines Henan	YUHAO	China
CYL	Air One Cityliner	CITYLINER	Italy
CYM		COMPAIR	
CYN		COLOR JET	
CYO	Air Transport	COYOTE	United States
CYP	Cyprus Airways	CYPRUS	Cyprus
CYR		BUDGET JET	
CYS	Cypress Airlines	SKYBIRD	Canada
CYT	Crystal Shamrock Airlines	CRYSTAL-AIR	United States
CYZ	China Postal Airlines	CHINA POST	China
DAA	Decatur Aviation	DECUR	United States
DAB		DASSAULT AVIATION	
DAC	McDonnell Douglas	DACO	United States
DAD	Dorado Air	DORADO AIR	Dominican Republic
DAE	DHL Aero Expreso	YELLOW	Panama
DAF	Danish Air Force	DANISH AIRFORCE	Denmark
DAG	Dagestan Airlines	DAGAL	Russia
DAH	Air Algérie	AIR ALGERIE	Algeria
DAI		DENA	
DAJ		STRATUS	
DAK		DAKAIRLINE	
DAL	Delta Air Lines	DELTA	United States
DAM	Kyrgyzstan Department of Aviation	FLIGHT RESCUE	Kyrgyzstan
DAN		DANA AIR	
DAO	Daallo Airlines	DALO AIRLINES	Djibouti
DAP	Aerovías DAP	DAP	Chile
DAR	Danish Army	DANISH ARMY	Denmark
DAS	Damascene Airways	AIRDAM	Syrian Arab Republic
DAT		DELTAIR	
DAU	Dauair	DAUAIR	Germany
DAV	Dornier Aviation Nigeria	DANA AIR	Nigeria
DAW		FLY DUO	
DAX		DANTAX	
DAY	Daya Aviation	DAYA	Sri Lanka
DAZ		HALA	
DBA	Air Alpha	DOUBLE-A	United States
DBC	Gemini Air Group	DIAMOND BACK	United States
DBD	Air Niagara Express	AIR NIAGARA	Canada
DBE		DOVE	
DBG		DANBO	
DBJ	Duchess of Britany (Jersey) Limited	DUCHESS	United Kingdom
DBK	Dubrovnik Air	SEAGULL	Croatia
DBR		DUTCHBIRD	
DBX		WHITE BEAR	
DBY		WINDSOR	
DCA	Dreamcatcher Airways	DREAM CATCHER	United Kingdom
DCC	Caribbean Air Cargo	CARICARGO	Barbados
DCD		DUCARD	
DCE	Dutch Caribbean Express	DUTCH CARIBBEAN	Netherlands Antilles
DCF		DESERT STAR	
DCH		ALPINE STAR	
DCL	Transportes Aéreos Don Carlos	DON CARLOS	Chile
DCM	FLTPLAN (anonymized service)	DOT COM	United States
DCN	Federal Armed Forces	DIPLOMATIC CLEARANCE	Germany
DCO		AEROJAZ	
DCR		DISCO	
DCS	DC Aviation	TWIN STAR	Germany
DCT		AIRTASK	
DCV	Discover Air	DISCOVER	United States
DCW		MALTA STAR	
DCX	Daimler-Chrysler	DAIMLER	United States
DCY		DUCOY	
DDA	D & D Aviation	DUSTY	United States
DDD		DANDY	
DDS	Addis Airlines	ADDIS LINE	Ethiopia
DDY		DANDY	
DEA	Delta Aerotaxi	JET SERVICE	Italy
DEB		DEBONAIR	
DEC		DECCAN CARGO	
DEE	Dixie Airways	TACAIR	United States
DEF	Aviation Defense Service	TIRPA	France
DEJ		DANAJET	
DEK		DEK AERO	
DEL	Carib Aviation	RED TAIL	Antigua and Barbuda
DEM		DESTILA MIELES	
DEN		DENEL	
DEP		AIR DARDAN	
DER		DEER JET	
DES	Chilcotin Caribou Aviation	CHILCOTIN	Canada
DES	Servicios Aereos Especializados Destina	DESTINA	Mexico
DET	DETA Air	SAMAL	Kazakhstan
DEV	Red Devils Parachute Display Team	RED DEVILS	United Kingdom
DEX		DULLES EXPRESS	
DFA	Aero Coach Aviation	AERO COACH	United States
DFC		DARK BLUE	
DFL		MEDIFLIGHT	
DFS	Dwyer Aircraft Services	DWYAIR	United States
DFT		SKYDRIFT	
DFX		DYLAN FLIGHT	
DGA	Yellow River Delta General Aviation	YELLOW RIVER	China
DGD		TBILAVIA	
DGO	DGO Jet	DGO JET	Mexico
DGT	Digital Equipment Corporation	DIGITAL	United States
DGX	Dasnair	DASNA	Switzerland
DHC	De Havilland	DEHAVILLAND	Canada
DHE	DAP Helicopteros	HELIDAP	Chile
DHI		ADAM SKY	
DHK	DHL Air Limited	WORLD EXPRESS	United Kingdom
DHL		DAHL	
DHM		ARCHER	
DHR		DARK HORSE	
DHV	DHL Aviation	WORLDSTAR	South Africa
DHX	DHL International	DILMUN	Bahrain
DIA	Direct Air	BLUE SKY	United States
DIC	Aeromedica	AEROMEDICA	Mexico
DIG		DAC AIR	
DIL		DIALOGUE	
DIN	Aerodin	AERODIN	Mexico
DIP	Diplomatic Freight Services	DIPFREIGHT	United Kingdom
DIR	Dirgantara Air Service	DIRGANTARA	Indonesia
DIS	Di Air	DI AIR	Serbia
DIX	Dix Aviation	DIX FLIGHT	Germany
DJA		ANTINEA	
DJB		DJIBOUTI AIR	
DJC		DYNAMICJET CHARTER	
DJE	Durango Jet	DURANGO JET	Mexico
DJI		DELTA JUILET	
DJR	Desert Jet	DESERT FLIGHT	United States
DJS	DayJet	DAYJET	United States
DJT	La Compagnie	DREAMJET	France
DJU		AIR DJIB	
DKE		DUKE	
DKH		AIR JUNEYAO	
DKN	Deccan Charters	DECCAN	India
DKT	Sioux Falls Aviation	DAKOTA	United States
DKY	Servicios Aéreos Elite	DAKOY	Spain
DLA	Air Dolomiti	DOLOMITI	Italy
DLB		AIRLINK BAHAMAS	
DLC	Dehong South Asian General Aviation	SOARCOPTER	China
DLF		RED WISENT	
DLG		DELGOLFO	
DLH	Lufthansa	HANSA	Germany
DLH	Lufthansa	LUFTHANSA	Germany
DLI	Delta Express International	DELTA EXPRESS	Ukraine
DLK	Millennium Airlines	DEKKANLANKA	Sri Lanka
DLN		DALMATIAN	
DLO		NAUTA	
DLP		DELPHINAIR	
DLR	Dala Air Services	DALA AIR	Nigeria
DLS	Aero Modelo	AEROMODELO	Mexico
DLT		DATLITE	
DLU		BLUECOMET	
DLX		DREAMLINE	
DLY		DAILY	
DMA		MAERSKAIR	
DMC	Aerodinamica de Monterrey	DINAMICAMONT	Mexico
DMD	Namdeb Diamond Corporation	DIAMONDJET	Namibia
DMF	DMCFLY	DEMLY	Mexico
DMI	Aeroservicios Dinamicos	AERODINAMICO	Mexico
DMJ	Aerolíneas Damojh	DAMOJH	Mexico
DMO		DOMODEDOVO	
DMS		AIR DIM	
DMT		ULTIMATE	
DNA	Aerodespachos de El Salvador	AERODESPACHOS	El Salvador
DNC	Aerodynamics Málaga	FLYINGOLIVE	Spain
DND	Eldinder Aviation	DINDER	Sudan
DNE		VENID	
DNI	Servicios Aéreos Denim	AERO DENIM	Mexico
DNJ	Aerodynamics Incorporated	DYNAJET	United States
DNK	D&K Aviation	DIRECT JET	United States
DNL	Dutch Antilles Express	DUTCH ANTILLES	Netherlands Antilles
DNM		DENIM	
DNO		DONIYA	
DNR	Dynamair Aviation	DYNAMAIR	Canada
DNU	Danu Oro Transportas	DANU	Lithuania
DNV	Donavia	DONAVIA	Russia
DNX		DONEX	
DNY	Danish Navy	DANISH NAVY	Denmark
DOA		DOMINICANA	
DOB		DOBROLET	
DOC	Norsk Luftambulanse	HELIDOC	Norway
DOI	U.S. Department of the Interior	INTERIOR	United States
DOJ		JUSTICE	
DOK		DOCTOR	
DOL		DOLLAR SIGN	
DOM	Dos Mundos	DOS MUNDOS	Dominican Republic
DON	Donair Flying Club	DONAIR	United Kingdom
DOP	Dancopter	DANCOPTER	Denmark
DOR	Dornier	DORNIER	Germany
DOT	Telnic Limited	DOT TEL	United Kingdom
DOV		DOVAIR	
DOW		DOWNTOWN	
DPJ	Delta Private Jets	JET CARD	United States
DPL	Dome Petroleum	DOME	Canada
DPS		BLUE-GRAY	
DPT		LIBERTAS	
DQA	Maldivian (airline)	ISLAND AVIATION	Maldives
DQI		CIMBER	
DRA		DRAVIDIAN	
DRB	Didier Rousset Buy	DIDIER	Chile
DRC	Triton Airlines	TRITON AIR	Canada
DRD	Aereo Dorado	AEREO DORADO	Mexico
DRE	Drummond Island Air	MICHIGAN	United States
DRG		ITALAIR	
DRI		ALADA AIR	
DRJ		DESERT JET	
DRK	Druk Air	ROYAL BHUTAN	Bhutan
DRL	Omni Air Transport	DRILLER	United States
DRM	Airways Flight Training	DARTMOOR	United Kingdom
DRN	Central De Discos De Reynosa	DISCOS REYNOSA	Mexico
DRO	Adro Servicios Aereos	ADRO SERVICIOS	Mexico
DRO	Aeronaves Del Noreste	AERONORESTE	Mexico
DRR		AERODIRECT	
DRS		DREAMSHORE	
DRT	Darta	DARTA	France
DRU	Alrosa Air Company	MIRNY	Russia
DRW		DREAM WIND	
DRY	Deraya Air Taxi	DERAYA	Indonesia
DRZ		DERAZONA	
DSA	Danbury Airways	DANBURY AIRWAYS	United States
DSB		SONATRA-AIR SENEGAL	
DSC	Addis Air Cargo Services	ADDIS CARGO	Ethiopia
DSF		DISCO	
DSH	Dash Air Charter	DASH CHARTER	United States
DSK		SKYBANNER	
DSL	Meridian Aviation	DIESEL	United Kingdom
DSM	LATAM Argentina	LAN AR	Argentina
DSN	DESNA	DESNA	Ukraine
DSO	Dassault Falcon Service	DASSAULT	France
DSP		SURAVIATION	
DSQ	Dasab Airlines	DASAB AIR	Uganda
DSR	DAS Air Cargo	DAIRAIR	Uganda
DST	Aex Air	DESERT	United States
DSU	Delta State University	DELTA STATE	United States
DTA	TAAG Angola Airlines	D_T_A	Angola
DTE		DARIDA-AIR	
DTH	Tassili Airlines	TASSILI AIR	Algeria
DTL		AERO OCCIDENTAL	
DTN	Data International	DATA AIR	Sudan
DTO		AERODESIERTO	
DTR	DAT Danish Air Transport	DANISH	Denmark
DTV	Centre Airlines	DUTCH VALLEY	United States
DTX		DELTEX	
DTY	Destiny Air Services	DESTINY	Sierra Leone
DUA		DUSHANBE AIR	
DUB	Dubai Airwing	DUBAI	United Arab Emirates
DUC		DUNCAN	
DUG		ATSAVEN	
DUK	Ducair	LION KING	Luxembourg
DUN	Dun'Air	DUNAIR	Mauritania
DUO	Duo Airways	FLY DUO	United Kingdom
DUT		SERENDIB	
DVA	Discovery Airways	DISCOVERY AIRWAYS	United States
DVB	Don Avia	DONSEBAI	Kazakhstan
DVI	Aero Davinci International	AERO DAVINCI	Mexico
DVN		DVIN-AVIA	
DVR		DIVI AIR	
DVU		ZENA	
DVZ		AEROTAXI DVZ	
DWA		DUCOR WORLD	
DWN	Dawn Air	DAWN AIR	United States
DWR	Delaware Skyways	DELAWARE	United States
DWT	Darwin Airline	DARWIN	Switzerland
DWW		DON JUAN	
DXH	East Star Airlines	EAST STAR	China
DXP	Dallas Express Airlines	DALLAS EXPRESS	United States
DXT		DEXTER	
DYA	Dynamic Airways	DYNAMIC AIR	United States
DYE		DYNAMIC	
DYM		DYNAMIC SKY	
DYN	Aero Dynamics	AERO DYNAMIC	United States
DYT		DUVALAIR	
DZR	Midwest Aviation	DOZER	United States
EAA		TANDINO	
EAB	Swiss Eagle	SWISS EAGLE	Switzerland
EAC	Executive Air Charter	EXECAIR	United States
EAD	Escola De Aviacao Aerocondor	AERO-ESCOLA	Portugal
EAE	Aeroservicios Ecuatorianos	AECA	Ecuador
EAF	European Aviation Air Charter	EUROCHARTER	United Kingdom
EAG	Eagle Airways	EAGLE	New Zealand
EAH	Baltimore Airways	EASTERN	United States
EAI	Elite Air	ELAIR	Togo
EAK	Euro-Asia Air	EAKAZ	Kazakhstan
EAL	Eastern Air Lines	EASTERN	United States
EAL	European Air Express	STAR WING	Germany
EAM	Embassy Airlines	EMBASSY AIR	Nigeria
EAN	Skypower Express Airways	NIGERIA EXPRESS	Nigeria
EAO		MARINO	
EAP	Aero-Pyrenees	AERO-PYRENEES	France
EAQ	Eastern Australia Airlines	EASTERN	Australia
EAR	Transporte Ejecutivo Aéreo	EJECUTIVO-AEREO	Mexico
EAS		AEROSPACE	
EAT	Air Transport	TRANS EUROPE	Slovakia
EAU		ELITE	
EAV	Eagle Airlines Luftverkehrsges	MAYFLOWER	Austria
EAW		WALYA	
EAX	Eastern Air Executive	EASTEX	United Kingdom
EAY		REVAL	
EAZ	Eastern Air	EASAIR	Zambia
EBA	Bond Aviation	BOND AVIATION	Italy
EBC	Aero Ejecutivo De Baja California	CALIXJET	Mexico
EBE	Minebea Technologies	MINEBEA	United States
EBF	MSR Flug-Charter	SKYRUNNER	Germany
EBG	Eurosense	EUROSENSE	Bulgaria
EBJ		SKY ELITE	
EBS		ELIFLY	
EBU		ELITE BLUE	
ECA	Eurocypria Airlines	EUROCYPRIA	Cyprus
ECB	European Coastal Airlines	COASTAL CLIPPER	Croatia
ECC	Eclair Aviation	ECLAIR	Czech Republic
ECD	Ecotour	ECOTOUR	Mexico
ECE	Air City	AIRCITY	Germany
ECF	Eurocopter	EUROCOPTER	France
ECG	Aero Ejecutivos RCG	EJECTUIVOS RCG	Mexico
ECI	Eastern Carolina Aviation	EASTERN CAROLINA	United States
ECJ	East Coast Jets	EASTCOAST JET	United States
ECK		EAST COAST	
ECL	Aeronáutica Castellana	AERO CASTELLANA	Spain
ECM	Aerolíneas Comerciales	AERO COMERCIALES	Mexico
ECN	Euro Continental AIE	EURO CONTINENTAL	Spain
ECO		AEROECO	
ECQ	Eco Air	SKYBRIDGE	Nigeria
ECR		ENERGIA	
ECS	Executive Aircraft Charter and Charter Services	ECHO	Ireland
ECT	East Coast Airways	EASTWAY	South Africa
ECU	Ecuavia	ECUAVIA	Ecuador
ECV	Ecuatoguineana De Aviación (EGA)	EQUATOGUINEA	Equatorial Guinea
ECW		ECOTRAVEL	
ECX	Ecomex Air Cargo	AIR ECOMEX	Angola
ECY	Euroceltic Airways	ECHELON	United Kingdom
EDA		ANDES	
EDC	Air Charter Scotland	SALTIRE	United Kingdom
EDD	Líneas Aéreas Ejectuivas De Durango	LINEAS DURANGO	Mexico
EDG		JET EDGE	
EDJ	Edwards Jet Center of Montana	EDWARDS	United States
EDL	Polizeihubschrauberstaffel Bayern	POLICE EDELWEISS	Germany
EDO	Elidolomiti	ELIDOLOMITI	Italy
EDR	Fly All Ways	BIRDVIEW	Suriname
EDR	Líneas Aéreas Eldorado	ELDORADRO	Colombia
EDV	Endeavor Air	ENDEAVOR	United States
EDW	Edelweiss Air	EDELWEISS	Switzerland
EDY	Apollo Air Service	STOBART	United Kingdom
EEA	Empresa Ecuatoriana De Aviación	ECUATORIANA	Ecuador
EEB		EUROBER	
EEC		QUICK SPEED	
EEF	Estonian Air Force	ESTONIAN AIR FORCE	Estonia
EEI		ELISYSTEM	
EEJ		EJAY	
EEM		EJEAERMEX	
EES		EAGLE STAR	
EET	Air Este	AESTE	Spain
EEU	Eurofly Service	EUROFLY	Italy
EEV		EXAV	
EEX		EXECUTIVE EXPRESS	
EEZ	Eurofly	E-FLY	Italy
EFA		EXPRESS FREIGHT	
EFB		EMERALD JETS	
EFC	Air Mana	FLIGHT TAXI	France
EFD	Eisele Flugdienst	EVER FLIGHT	Germany
EFE		EFREIGHT SUDAN	
EFF		EMERALD	
EFG	Elifriulia	ELIFRIULIA	Italy
EFL		FLYING EAGLE	
EFR		ERFOTO	
EFS	EFAOS- Agencia De Viagens e Turismo	EFAOS	Angola
EFT	Embassy Freight Company	EMBASSY FREIGHT	United States
EFX		EASY EXPRESS	
EFY	EasyFly	EASYFLY	Colombia
EGC		EAGLE CREEK	
EGE		GYRO TREKKER	
EGF	American Eagle Airlines	EAGLE FLIGHT	United States
EGJ	Eagle Jet Charter	EAGLE JET	United States
EGL	Capital Trading Aviation	PRESTIGE	United Kingdom
EGM		AERO ESTERGOM	
EGN	Eagle Aviation France	FRENCH EAGLE	France
EGO	Gauteng Air Cargo	GAUTENG	South Africa
EGP		TASCO	
EGR	Eagle Air	EAGLE SIERRA	Sierra Leone
EGS		EVERGLADES	
EGT		PREDATOR	
EGU	Eagle Air	AFRICAN EAGLE	Uganda
EGV	Enrique Gleisner Vivanco	GLEISNER	Chile
EGX	Eagle Air Company	THAI EAGLE	Thailand
EGY		EGYPTAIR	
EHA	East Hampton Aire	AIRE HAMPTON	United States
EHD	E H Darby Aviation	PLATINUM AIR	United States
EHN		EAST HORIZON	
EHR	Valfell-Verkflug	ROTOR	Iceland
EHS		ELITOS	
EIA	Evergreen International Airlines	EVERGREEN	United States
EIC	Express International Cargo	EXCARGO	São Tomé and Príncipe
EIJ	Efata Papua Airlines	EFATA	Indonesia
EIN	Aer Lingus	SHAMROCK	Ireland
EIR	Eirjet	EIRJET	Ireland
EIS	EIS Aircraft	COOL	Germany
EIX	Ei Air Exports	AIR EXPORTS	Ireland
EJA	NetJets	EXECJET	United States
EJC	Grupo De Aviación Ejecutiva	GRUPOEJECUTIVA	Mexico
EJD	Elite Jets	ELITE DUBAI	United Arab Emirates
EJE		VOODOO	
EJG		SKY BEAR	
EJM	Executive Jet Management	JET SPEED	United States
EJO	Execujet Middle East	MIDJET	United Arab Emirates
EJP	Aeroservicios Ejecutivos Corporativos	EJECCORPORATIVOS	Mexico
EJS	Eurojet Servis	EEJAY SERVICE	Czech Republic
EJT	Eclipse Aviation	ECLIPSE JET	United States
EJU	EasyJet Europe	ALPINE	Austria
EJV	Compania Ejecutiva	EJECUTIVA	Mexico
EKA	Equaflight Service	EQUAFLIGHT	Republic of the Congo
EKC	East Kansas City Aviation	BLUE GOOSE	United States
EKJ		EQUAJET	
EKO		CONCISE	
EKP		ECOPATROL	
ELB	Ellinair	ELLINAIR HELLAS	Greece
ELC		CHARTERS ESTONIA	
ELD		ELECTRA	
ELE		ELECTRICITY	
ELF		ELLASJET	
ELG		ALPI EAGLES	
ELH	Elilario Italia	LARIO	Italy
ELI		HELIARCOS	
ELJ	Delta Private Jets	ELITE JET	United States
ELK		ELKA	
ELL	Estonian Air	ESTONIAN	Estonia
ELM	Crelam	CRELAM	Mexico
ELN	Eleron Aviation Company	ELERON	Ukraine
ELO	Eurolot	EUROLOT	Poland
ELP		AEROSANLUIS	
ELS	El Sal Air	EL SAL	El Salvador
ELT	Elliott Aviation	ELLIOT	United States
ELU	Egyptian Leisure Airlines	EGYPTIAN LEISURE	Egypt
ELV	Transportes Aéreos Nacionales De Selva Tans	AEREOS SELVA	Peru
ELW	Yellow Wings Air Services	YELLOW WINGS	Kenya
ELX	Elan Express	ELAN	United States
ELY	El Al	EL AL	Israel
ELZ		HOPPER	
EMB	Empresa Brasileira De Aeronáutica	EMBRAER	Brazil
EMD	Eaglemed (Ballard Aviation)	EAGLEMED	United States
EME	Eastern Metro Express	EMAIR	United States
EMI	Premium Air Shuttle	BLUE SHUTTLE	Nigeria
EMJ		LIGHT HOUSE	
EML		EMALUSA	
EMM		RULER	
EMN	Examiner Training Agency	AGENCY	United Kingdom
EMP	Empire Air Service	EMPIRE	United States
EMR	Zenmour Airlines	ZENMOUR	Mauritania
EMS	Aero Servicios Empresariales	SERVIEMPRESARIAL	Mexico
EMT	Emetebe	EMETEBE	Ecuador
EMX	Euromanx Airways	EUROMANX	Austria
ENA	Dirección General de Aviación Civil y Telecomunicasciones	ENA	Spain
ENC	Endecots	ENDECOTS	Ecuador
END	Arrendadora y Transportadora Aérea	ARRENDADORA	Mexico
ENF		ENAV CHECK	
ENI	Enimex	ENIMEX	Estonia
ENJ		ENERJET AIR	
ENK	Enkor JSC	ENKOR	Russia
ENK	Executive Airlink	SUNBIRD	United States
ENS	Entergy Services	ENTERGY SHUTTLE	United States
ENT	Enter Air	ENTER	Poland
ENV	Victoria Aviation	ENDEAVOUR	United Kingdom
ENW	Aeronaves Del Noroeste	AERONOR	Spain
ENX		GENESIS	
ENY	Envoy Air	ENVOY	United States
ENZ	Jota Aviation	ENZO	United Kingdom
EOA	Elilombarda	LOMBARDA	Italy
EOL	Airailes	EOLE	France
EOM	Aero Ermes	AERO ERMES	Mexico
EOP		EOLO PLUS	
EOS		ELIOSSOLA	
EPA	Donghai Airlines	DONGHAI AIR	China
EPB	Eastern Pacific Aviation	EAST PAC	Canada
EPC	Espace Aviation Services	ESPACE	Democratic Republic of the Congo
EPE	Aero Empresarial	AEROEMPRESARIAL	Mexico
EPJ		ESPEJO	
EPL	Aero Transportes Empresariales	EMPRESARIALES	Mexico
EPN		EUROPLANE	
EPR	Express Airways	EMPEROR	Slovenia
EPS		EPPS AIR	
EPU	Aero Elite Acapulco	ELITACAPULCO	Mexico
EQA		MAGNUM	
EQC	Ecuatorial Cargo	ECUA-CARGO	Equatorial Guinea
EQL		EQUATORIAL	
EQZ	Equatair Air Services (Zambia)	ZAMBIA CARGO	Zambia
ERA		EUROCOMMANDER	
